0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:56 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:56 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:56 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:56 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:56 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:56 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:57 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:57 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:57 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:57 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:57 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:57 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:57 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:58 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:58 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:58 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:58 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:58 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:58 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:58 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:59 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:59 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:59 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:59 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:59 -0400] "GET /graph HTTP/1.1" 200 -
